Time	Channel 8
Seconds	mW

244280	1,6359
244290	1,6359
244300	1,6376
244310	1,6359
244320	1,6341
244330	1,6411
244340	1,6359
244350	1,6341
244360	1,6411
244370	1,6359
244380	1,6341
244390	1,6376
244400	1,6376
244410	1,6376
244420	1,6341
244430	1,6359
244440	1,6376
244450	1,6341
244460	1,6359
244470	1,6376
244480	1,6324
244490	1,6359
244500	1,6359
244510	1,6411
244520	1,6411
244530	1,6359
244540	1,6341
244550	1,6376
244560	1,6359
244570	1,6324
244580	1,6393
244590	1,6341
244600	1,6341
244610	1,6370
244620	1,6376
244630	1,6324
244640	1,6341
244650	1,6359
244660	1,6359
244670	1,6376
244680	1,6359
244690	1,6376
244700	1,6341
244710	1,6376
244720	1,6341
244730	1,6376
244740	1,6411
244750	1,6376
244760	1,6376
244770	1,6376
244780	1,6359
244790	1,6393
244800	1,6359
244810	1,6341
244820	1,6359
244830	1,6359
244840	1,6359
244850	1,6324
244860	1,6359
244870	1,6341
244880	1,6376
244890	1,6359
244900	1,6341
244910	1,6324
244920	1,6359
244930	1,6324
244940	1,6359
244950	1,6324
244960	1,6376
244970	1,6359
244980	1,6341
244990	1,6376
245000	1,6359
245010	1,6324
245020	1,6341
245030	1,6359
245040	1,6341
245050	1,6359
245060	1,6341
245070	1,6341
245080	1,6324
245090	1,6359
245100	1,6365
245110	1,6385
245120	1,6359
245130	1,6341
245140	1,6324
245150	1,6341
245160	1,6324
245170	1,6324
245180	1,6324
245190	1,6324
245200	1,6324
245210	1,6354
245220	1,6324
245230	1,6344
245240	1,6359
245250	1,6307
245260	1,6309
245270	1,6359
245280	1,6324
245290	1,6376
245300	1,6344
245310	1,6324
245320	1,6341
245330	1,6339
245340	1,6324
245350	1,6324
245360	1,6341
245370	1,6341
245380	1,6341
245390	1,6324
245400	1,6324
245410	1,6324
245420	1,6324
245430	1,6324
245440	1,6307
245450	1,6324
245460	1,6359
245470	1,6341
245480	1,6324
245490	1,6307
245500	1,6324
245510	1,6324
245520	1,6324
245530	1,6307
245540	1,6324
245550	1,6324
245560	1,6307
245570	1,6324
245580	1,6341
245590	1,6324
245600	1,6324
245610	1,6324
245620	1,6324
245630	1,6307
245640	1,6324
245650	1,6324
245660	1,6341
245670	1,6341
245680	1,6324
